level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;38;38;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;34;31;DeliverOrder;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;31;22;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;22;13;CutOnion;Happy;yes;
2;Ana;4;10;0;Good;70;3;-10;42;2;6;5;3;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;86;86;CutOnion;Normal;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;82;82;CutOnion;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;81;68;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;65;65;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;58;47;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;41;41;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;40;32;DeliverOrder;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;32;29;DeliverOrder;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;27;27;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;27;12;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;10;10;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;-30;42;2;-1;10;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;86;76;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;74;63;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;61;50;CutOnion;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;50;50;CutOnion;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;50;50;CutOnion;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;50;50;CutOnion;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;50;50;CutOnion;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;50;39;CutOnion;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;35;35;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;34;34;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;34;34;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;26;26;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;26;26;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;24;17;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;14;14;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;14;14;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;14;7;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;44;2;-22;19;2;-1;5;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;86;77;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;77;68;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;66;58;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;51;43;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;43;39;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;35;35;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;35;35;DeliverOrder;Sleepy;no;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;34;29;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;28;18;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;17;8;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;7;0;CutTomato;Confused;yes;
5;Carlos;2;20;1;Neutral;48;2;-21;34;2;-1;0;0;DeliverOrder;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;87;79;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;79;79;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;77;69;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;69;60;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;60;52;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;50;46;DeliverOrder;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;46;36;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;33;25;CutTomato;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;21;17;DeliverOrder;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;17;6;CutOnion;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;4;4;CutOnion;Confused;yes;
6;Carlos;2;20;0;Neutral;46;2;-44;39;5;-1;1;0;CutOnion;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;87;78;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;77;77;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;74;66;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;65;65;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;65;56;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;56;54;DeliverOrder;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;52;52;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;51;51;CutTomato;Sleepy;no;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;51;42;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;36;33;DeliverOrder;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;29;29;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;28;28;CutOnion;Sleepy;no;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;28;19;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;19;11;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;70;3;9;42;3;7;3;1;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;86;78;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;77;69;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;60;58;DeliverOrder;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;57;48;CutTomato;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;48;40;CutTomato;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;33;30;DeliverOrder;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;30;30;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;29;21;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;21;12;CutOnion;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;4;4;DeliverOrder;Happy;yes;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;3;3;DeliverOrder;Sleepy;no;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;3;3;DeliverOrder;Sleepy;no;
8;Danilo;3;30;0;Good;70;3;-4;44;4;-1;2;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;87;87;CutOnion;Normal;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;84;84;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;84;84;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;84;84;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;84;72;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;72;59;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;59;44;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;44;44;DeliverOrder;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;42;42;DeliverOrder;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;41;41;DeliverOrder;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;40;40;DeliverOrder;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;39;32;DeliverOrder;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;32;32;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;31;31;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;31;31;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;31;31;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;31;16;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;9;1;DeliverOrder;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;0;0;CutOnion;Angry;yes;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;0;0;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;0;0;CutOnion;Sleepy;no;
9;Eva;1;60;1;Bad;46;2;-43;37;8;4;0;0;CutOnion;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;87;87;CutOnion;Normal;yes;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;84;84;CutOnion;Sleepy;no;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;84;71;CutOnion;Angry;yes;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;71;71;CutOnion;Angry;yes;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;71;71;CutOnion;Sleepy;no;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;71;59;CutOnion;Angry;yes;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;51;44;DeliverOrder;Angry;yes;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;42;42;CutTomato;Angry;yes;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;41;41;CutTomato;Sleepy;no;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;41;41;CutTomato;Sleepy;no;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;41;23;CutTomato;Angry;yes;
10;Eva;1;60;0;Bad;24;1;-44;42;9;4;13;0;CutTomato;Angry;yes;
