level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;56;56;CutOnion;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;48;38;CutOnion;Angry;yes;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;26;18;DeliverOrder;Angry;yes;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;15;15;CutTomato;Angry;yes;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;14;14;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;11;11;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;11;11;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;10;10;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;9;9;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;8;8;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;6;6;CutTomato;Sleepy;no;
3;Breno;1;60;1;Bad;22;1;11;-51;6;6;5;0;CutTomato;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;85;85;CutTomato;Normal;yes;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;81;81;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;74;74;CutTomato;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;71;60;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;58;58;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;55;44;CutTomato;Angry;yes;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;41;28;CutOnion;Angry;yes;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;28;28;DeliverOrder;Angry;yes;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;20;20;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;18;18;CutOnion;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;16;16;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;15;15;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;13;13;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;12;12;DeliverOrder;Sleepy;no;
4;Breno;1;60;0;Bad;20;1;21;-40;7;-1;8;0;DeliverOrder;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
5;Carlos;2;20;1;Neutral;22;1;8;-25;7;-1;85;77;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;22;1;8;-25;7;-1;66;57;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;22;1;8;-25;7;-1;45;37;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;22;1;8;-25;7;-1;29;25;DeliverOrder;Confused;yes;
5;Carlos;2;20;1;Neutral;22;1;8;-25;7;-1;21;11;CutOnion;Confused;yes;
5;Carlos;2;20;1;Neutral;22;1;8;-25;7;-1;2;2;CutOnion;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;82;73;CutOnion;Angry;yes;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;65;54;CutOnion;Angry;yes;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;53;42;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;37;37;DeliverOrder;Angry;yes;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;35;27;DeliverOrder;Angry;yes;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;27;27;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;24;7;CutTomato;Angry;yes;
6;Eva;1;60;1;Bad;22;1;-4;-14;7;5;0;0;DeliverOrder;Angry;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;81;81;CutOnion;Normal;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;75;67;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;64;64;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;55;46;CutOnion;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;32;32;DeliverOrder;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;29;26;DeliverOrder;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;24;15;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;12;3;CutTomato;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;0;0;DeliverOrder;Happy;yes;
7;Danilo;3;30;1;Good;22;1;12;5;7;6;0;0;DeliverOrder;Happy;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;84;84;CutTomato;Normal;yes;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;83;83;CutTomato;Sleepy;no;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;82;73;CutTomato;Angry;yes;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;70;60;CutTomato;Angry;yes;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;53;45;DeliverOrder;Angry;yes;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;40;40;CutTomato;Angry;yes;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;32;32;CutTomato;Sleepy;no;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;27;10;CutTomato;Angry;yes;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;8;8;CutTomato;Angry;yes;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;2;2;CutTomato;Sleepy;no;
8;Eva;1;60;0;Bad;24;1;-1;-50;8;-1;0;0;CutTomato;Sleepy;no;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;84;76;CutTomato;Confused;yes;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;73;65;CutTomato;Confused;yes;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;63;54;CutTomato;Confused;yes;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;49;45;DeliverOrder;Confused;yes;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;42;31;CutTomato;Confused;yes;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;24;20;DeliverOrder;Confused;yes;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;17;17;CutOnion;Confused;yes;
9;Carlos;2;20;0;Neutral;48;2;27;8;7;7;11;1;CutOnion;Confused;yes;
level;nickname;movement Speed;probality To Sleep;games Available;personality;totalScore;numberOfDelivery;EmojiGrid After Round(X);EmojiGrid After Round(Y);Arousal; Valence;timestamp Start;timestamp End;action Requested;faceShown;Was Realized;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;85;77;CutTomato;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;75;66;CutTomato;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;58;58;DeliverOrder;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;56;56;CutTomato;Sleepy;no;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;55;52;DeliverOrder;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;52;42;CutTomato;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;39;30;CutTomato;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;27;18;CutOnion;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;14;14;DeliverOrder;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;5;2;DeliverOrder;Happy;yes;
10;Danilo;3;30;0;Good;46;2;1;24;6;7;2;0;CutOnion;Happy;yes;
